"No.","Time","Source","Destination","Protocol","Length","Info"
"135827","1440.718538","135.13.216.191","172.16.113.84","ICMP","60","Echo (ping) reply    id=0x0000, seq=0/0, ttl=63"
"154892","1799.665435","202.77.162.213","172.16.115.5","ICMP","60","Echo (ping) request  id=0x0801, seq=2574/3594, ttl=253 (no response found!)"
"154893","1799.665644","172.16.112.194","202.77.162.213","ICMP","60","Echo (ping) reply    id=0x0801, seq=2574/3594, ttl=64"
"154911","1800.046083","202.77.162.213","172.16.115.20","ICMP","60","Echo (ping) request  id=0x0801, seq=6414/3609, ttl=253 (reply in 154912)"
"154912","1800.046280","172.16.115.20","202.77.162.213","ICMP","60","Echo (ping) reply    id=0x0801, seq=6414/3609, ttl=255 (request in 154911)"
"155030","1801.747825","202.77.162.213","172.16.115.87","ICMP","60","Echo (ping) request  id=0x0801, seq=23566/3676, ttl=253 (reply in 155031)"
"155031","1801.748599","172.16.115.87","202.77.162.213","ICMP","60","Echo (ping) reply    id=0x0801, seq=23566/3676, ttl=64 (request in 155030)"
"155225","1805.478478","202.77.162.213","172.16.115.234","ICMP","60","Echo (ping) request  id=0x0801, seq=61198/3823, ttl=253 (no response found!)"
"155226","1805.478689","172.16.112.194","202.77.162.213","ICMP","60","Echo (ping) reply    id=0x0801, seq=61198/3823, ttl=64"
"155476","1813.790324","202.77.162.213","172.16.113.50","ICMP","60","Echo (ping) request  id=0x0801, seq=13583/3893, ttl=253 (reply in 155477)"
"155477","1813.790517","172.16.113.50","202.77.162.213","ICMP","60","Echo (ping) reply    id=0x0801, seq=13583/3893, ttl=255 (request in 155476)"
"155523","1814.657080","202.77.162.213","172.16.113.84","ICMP","60","Echo (ping) request  id=0x0801, seq=22287/3927, ttl=253 (no response found!)"
"155524","1814.657274","172.16.112.194","202.77.162.213","ICMP","60","Echo (ping) reply    id=0x0801, seq=22287/3927, ttl=64"
"155554","1815.191094","202.77.162.213","172.16.113.105","ICMP","60","Echo (ping) request  id=0x0801, seq=27663/3948, ttl=253 (reply in 155555)"
"155555","1815.191862","172.16.113.105","202.77.162.213","ICMP","60","Echo (ping) reply    id=0x0801, seq=27663/3948, ttl=64 (request in 155554)"
"155615","1816.284757","202.77.162.213","172.16.113.148","ICMP","60","Echo (ping) request  id=0x0801, seq=38671/3991, ttl=253 (reply in 155616)"
"155616","1816.285600","172.16.113.148","202.77.162.213","ICMP","60","Echo (ping) reply    id=0x0801, seq=38671/3991, ttl=64 (request in 155615)"
"155646","1816.794474","202.77.162.213","172.16.113.168","ICMP","60","Echo (ping) request  id=0x0801, seq=43791/4011, ttl=253 (no response found!)"
"155647","1816.794723","172.16.112.194","202.77.162.213","ICMP","60","Echo (ping) reply    id=0x0801, seq=43791/4011, ttl=64"
"155648","1816.819759","202.77.162.213","172.16.113.169","ICMP","60","Echo (ping) request  id=0x0801, seq=44047/4012, ttl=253 (no response found!)"
"155649","1816.819892","172.16.112.194","202.77.162.213","ICMP","60","Echo (ping) reply    id=0x0801, seq=44047/4012, ttl=64"
"155693","1817.710253","202.77.162.213","172.16.113.204","ICMP","60","Echo (ping) request  id=0x0801, seq=53007/4047, ttl=253 (no response found!)"
"155694","1817.710426","172.16.112.194","202.77.162.213","ICMP","60","Echo (ping) reply    id=0x0801, seq=53007/4047, ttl=64"
"155700","1817.786214","202.77.162.213","172.16.113.207","ICMP","60","Echo (ping) request  id=0x0801, seq=53775/4050, ttl=253 (no response found!)"
"155701","1817.786370","172.16.112.194","202.77.162.213","ICMP","60","Echo (ping) reply    id=0x0801, seq=53775/4050, ttl=64"
"155942","1819.320308","202.77.162.213","172.16.112.10","ICMP","60","Echo (ping) request  id=0x0801, seq=3072/12, ttl=253 (reply in 155943)"
"155943","1819.320358","172.16.112.10","202.77.162.213","ICMP","52","Echo (ping) reply    id=0x0801, seq=3072/12, ttl=255 (request in 155942)"
"155960","1819.573428","202.77.162.213","172.16.112.20","ICMP","60","Echo (ping) request  id=0x0801, seq=5632/22, ttl=253 (no response found!)"
"155962","1819.573594","172.16.112.194","202.77.162.213","ICMP","60","Echo (ping) reply    id=0x0801, seq=5632/22, ttl=64"
"156000","1820.337870","202.77.162.213","172.16.112.50","ICMP","60","Echo (ping) request  id=0x0801, seq=13312/52, ttl=253 (reply in 156001)"
"156001","1820.338038","172.16.112.50","202.77.162.213","ICMP","60","Echo (ping) reply    id=0x0801, seq=13312/52, ttl=255 (request in 156000)"
"156075","1821.613696","202.77.162.213","172.16.112.100","ICMP","60","Echo (ping) request  id=0x0801, seq=26112/102, ttl=253 (reply in 156076)"
"156076","1821.613849","172.16.112.100","202.77.162.213","ICMP","60","Echo (ping) reply    id=0x0801, seq=26112/102, ttl=128 (request in 156075)"
"156083","1821.743603","202.77.162.213","172.16.112.105","ICMP","60","Echo (ping) request  id=0x0801, seq=27392/107, ttl=253 (reply in 156084)"
"156084","1821.746982","172.16.112.105","202.77.162.213","ICMP","60","Echo (ping) reply    id=0x0801, seq=27392/107, ttl=60 (request in 156083)"
"156148","1822.862319","202.77.162.213","172.16.112.149","ICMP","60","Echo (ping) request  id=0x0801, seq=38656/151, ttl=253 (no response found!)"
"156149","1822.862518","172.16.112.194","202.77.162.213","ICMP","60","Echo (ping) reply    id=0x0801, seq=38656/151, ttl=64"
"156212","1824.009399","202.77.162.213","172.16.112.194","ICMP","60","Echo (ping) request  id=0x0801, seq=50176/196, ttl=253 (reply in 156213)"
"156213","1824.009556","172.16.112.194","202.77.162.213","ICMP","60","Echo (ping) reply    id=0x0801, seq=50176/196, ttl=64 (request in 156212)"
"156241","1824.341042","202.77.162.213","172.16.112.207","ICMP","60","Echo (ping) request  id=0x0801, seq=53504/209, ttl=253 (no response found!)"
"156242","1824.341259","172.16.112.194","202.77.162.213","ICMP","60","Echo (ping) reply    id=0x0801, seq=53504/209, ttl=64"
"176094","2405.107653","135.13.216.191","172.16.113.169","ICMP","60","Echo (ping) request  id=0x0801, seq=257/257, ttl=254 (no response found!)"
"176095","2405.107885","172.16.112.194","135.13.216.191","ICMP","60","Echo (ping) reply    id=0x0801, seq=257/257, ttl=64"
"176096","2405.115422","135.13.216.191","172.16.113.169","ICMP","60","Echo (ping) request  id=0x0801, seq=513/258, ttl=254 (no response found!)"
"176097","2405.115564","172.16.112.194","135.13.216.191","ICMP","60","Echo (ping) reply    id=0x0801, seq=513/258, ttl=64"
"176098","2405.123415","135.13.216.191","172.16.113.169","ICMP","60","Echo (ping) request  id=0x0801, seq=769/259, ttl=254 (no response found!)"
"176099","2405.123547","172.16.112.194","135.13.216.191","ICMP","60","Echo (ping) reply    id=0x0801, seq=769/259, ttl=64"
"176100","2405.131752","135.13.216.191","172.16.113.169","ICMP","60","Echo (ping) request  id=0x0801, seq=1025/260, ttl=254 (no response found!)"
"176101","2405.131885","172.16.112.194","135.13.216.191","ICMP","60","Echo (ping) reply    id=0x0801, seq=1025/260, ttl=64"
"176102","2405.139690","135.13.216.191","172.16.113.169","ICMP","60","Echo (ping) request  id=0x0801, seq=1281/261, ttl=254 (no response found!)"
"176103","2405.139824","172.16.112.194","135.13.216.191","ICMP","60","Echo (ping) reply    id=0x0801, seq=1281/261, ttl=64"
"176104","2405.147892","135.13.216.191","172.16.113.169","ICMP","60","Echo (ping) request  id=0x0801, seq=1537/262, ttl=254 (no response found!)"
"176105","2405.148022","172.16.112.194","135.13.216.191","ICMP","60","Echo (ping) reply    id=0x0801, seq=1537/262, ttl=64"
"176106","2405.156056","135.13.216.191","172.16.113.169","ICMP","60","Echo (ping) request  id=0x0801, seq=1793/263, ttl=254 (no response found!)"
"176107","2405.156193","172.16.112.194","135.13.216.191","ICMP","60","Echo (ping) reply    id=0x0801, seq=1793/263, ttl=64"
"176108","2405.164088","135.13.216.191","172.16.113.169","ICMP","60","Echo (ping) request  id=0x0801, seq=2049/264, ttl=254 (no response found!)"
"176109","2405.164222","172.16.112.194","135.13.216.191","ICMP","60","Echo (ping) reply    id=0x0801, seq=2049/264, ttl=64"
"176110","2405.172124","135.13.216.191","172.16.113.169","ICMP","60","Echo (ping) request  id=0x0801, seq=2305/265, ttl=254 (no response found!)"
"176111","2405.172258","172.16.112.194","135.13.216.191","ICMP","60","Echo (ping) reply    id=0x0801, seq=2305/265, ttl=64"
"186642","2791.018877","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"186794","2796.024058","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"186894","2801.034167","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"187023","2806.044186","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"187224","2811.054186","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"187407","2816.064298","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"187527","2821.075018","172.16.115.87","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"187769","2826.084422","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"188059","2831.094749","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"188092","2836.104769","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"188332","2841.115429","172.16.115.87","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"188568","2846.124861","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"194484","2969.314762","172.16.113.105","197.182.91.233","ICMP","60","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"194485","2969.314930","172.16.113.105","197.182.91.233","ICMP","60","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"194486","2969.315090","172.16.113.105","197.182.91.233","ICMP","60","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"194487","2969.315249","172.16.113.105","197.182.91.233","ICMP","60","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"194488","2969.315409","172.16.113.105","197.182.91.233","ICMP","60","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"194489","2969.315588","172.16.113.105","197.182.91.233","ICMP","60","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"194490","2969.315750","172.16.113.105","197.182.91.233","ICMP","60","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"194491","2969.315908","172.16.113.105","197.182.91.233","ICMP","60","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (reply in 194494)"
"194494","2969.338844","197.182.91.233","172.16.113.105","ICMP","60","Echo (ping) reply    id=0x0000, seq=0/0, ttl=63 (request in 194491)"
"194496","2969.346695","197.182.91.233","172.16.113.105","ICMP","60","Echo (ping) reply    id=0x0000, seq=0/0, ttl=63"
"194497","2969.354547","197.182.91.233","172.16.113.105","ICMP","60","Echo (ping) reply    id=0x0000, seq=0/0, ttl=63"
"194498","2969.362422","197.182.91.233","172.16.113.105","ICMP","60","Echo (ping) reply    id=0x0000, seq=0/0, ttl=63"
"194499","2969.370169","197.182.91.233","172.16.113.105","ICMP","60","Echo (ping) reply    id=0x0000, seq=0/0, ttl=63"
"194500","2969.377995","197.182.91.233","172.16.113.105","ICMP","60","Echo (ping) reply    id=0x0000, seq=0/0, ttl=63"
"194501","2969.378076","197.182.91.233","172.16.113.105","ICMP","60","Echo (ping) reply    id=0x0000, seq=0/0, ttl=63"
"194502","2969.379024","197.182.91.233","172.16.113.105","ICMP","60","Echo (ping) reply    id=0x0000, seq=0/0, ttl=63"
"198873","3033.182087","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"199528","3038.177697","172.16.113.105","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"199867","3043.187259","172.16.117.132","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"200496","3048.197251","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"200852","3053.207261","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"201466","3058.217403","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"201644","3063.227463","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"202004","3068.237507","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"202510","3073.247560","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"202868","3078.257643","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"203199","3083.267795","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"203651","3088.277754","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"203989","3093.301711","172.16.113.148","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"204309","3098.297915","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"204503","3103.308051","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"204629","3108.317974","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"205003","3113.328109","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"205870","3118.338328","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"206038","3123.348259","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"206348","3128.358951","172.16.113.148","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"206841","3133.368296","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"206954","3138.379079","172.16.113.148","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"207024","3143.388579","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"207052","3148.399278","172.16.113.148","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"211257","3213.724917","172.16.112.100","202.77.162.213","ICMP","70","Destination unreachable (Port unreachable)"
"211536","3218.733388","172.16.112.100","202.77.162.213","ICMP","70","Destination unreachable (Port unreachable)"
"212131","3223.739211","172.16.112.100","202.77.162.213","ICMP","70","Destination unreachable (Port unreachable)"
"212445","3228.749245","172.16.112.100","202.77.162.213","ICMP","70","Destination unreachable (Port unreachable)"
"212653","3233.759327","172.16.112.100","202.77.162.213","ICMP","70","Destination unreachable (Port unreachable)"
"213062","3238.769389","172.16.112.100","202.77.162.213","ICMP","70","Destination unreachable (Port unreachable)"
"213381","3243.779409","172.16.112.100","202.77.162.213","ICMP","70","Destination unreachable (Port unreachable)"
"213627","3248.789812","172.16.112.100","202.77.162.213","ICMP","70","Destination unreachable (Port unreachable)"
"213972","3253.799553","172.16.112.100","202.77.162.213","ICMP","70","Destination unreachable (Port unreachable)"
"214273","3258.809603","172.16.112.100","202.77.162.213","ICMP","70","Destination unreachable (Port unreachable)"
"214618","3263.819741","172.16.112.100","202.77.162.213","ICMP","70","Destination unreachable (Port unreachable)"
"215026","3268.829748","172.16.112.100","202.77.162.213","ICMP","70","Destination unreachable (Port unreachable)"
"215269","3273.859441","172.16.112.105","202.77.162.213","ICMP","70","Destination unreachable (Port unreachable)"
"215654","3278.852631","172.16.112.105","202.77.162.213","ICMP","70","Destination unreachable (Port unreachable)"
"215730","3283.862787","172.16.112.105","202.77.162.213","ICMP","70","Destination unreachable (Port unreachable)"
"215989","3288.873279","172.16.112.105","202.77.162.213","ICMP","70","Destination unreachable (Port unreachable)"
"216314","3293.883451","172.16.112.105","202.77.162.213","ICMP","70","Destination unreachable (Port unreachable)"
"216445","3298.893079","172.16.112.105","202.77.162.213","ICMP","70","Destination unreachable (Port unreachable)"
"216508","3303.903071","172.16.112.105","202.77.162.213","ICMP","70","Destination unreachable (Port unreachable)"
"216733","3308.913095","172.16.112.105","202.77.162.213","ICMP","70","Destination unreachable (Port unreachable)"
"217089","3313.923840","172.16.112.105","202.77.162.213","ICMP","70","Destination unreachable (Port unreachable)"
"217432","3318.933785","172.16.112.105","202.77.162.213","ICMP","70","Destination unreachable (Port unreachable)"
"217614","3323.943382","172.16.112.105","202.77.162.213","ICMP","70","Destination unreachable (Port unreachable)"
"217780","3328.953370","172.16.112.105","202.77.162.213","ICMP","70","Destination unreachable (Port unreachable)"
"217962","3333.974143","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"218299","3338.976864","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"218704","3343.980797","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"218904","3348.990899","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"219047","3354.000969","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"219187","3359.011047","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"219698","3364.021111","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"219821","3369.031092","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"219951","3374.041906","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"220055","3379.051253","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"220166","3384.061658","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"220711","3389.071346","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"307268","5243.632337","194.27.251.21","172.16.112.194","ICMP","60","Echo (ping) request  id=0x0801, seq=2561/266, ttl=254 (reply in 307269)"
"307269","5243.632524","172.16.112.194","194.27.251.21","ICMP","60","Echo (ping) reply    id=0x0801, seq=2561/266, ttl=64 (request in 307268)"
"307270","5243.640124","194.27.251.21","172.16.112.194","ICMP","60","Echo (ping) request  id=0x0801, seq=2817/267, ttl=254 (reply in 307271)"
"307271","5243.640265","172.16.112.194","194.27.251.21","ICMP","60","Echo (ping) reply    id=0x0801, seq=2817/267, ttl=64 (request in 307270)"
"307272","5243.647969","194.27.251.21","172.16.112.194","ICMP","60","Echo (ping) request  id=0x0801, seq=3073/268, ttl=254 (reply in 307273)"
"307273","5243.648114","172.16.112.194","194.27.251.21","ICMP","60","Echo (ping) reply    id=0x0801, seq=3073/268, ttl=64 (request in 307272)"
"307274","5243.655816","194.27.251.21","172.16.112.194","ICMP","60","Echo (ping) request  id=0x0801, seq=3329/269, ttl=254 (reply in 307275)"
"307275","5243.655954","172.16.112.194","194.27.251.21","ICMP","60","Echo (ping) reply    id=0x0801, seq=3329/269, ttl=64 (request in 307274)"
"307276","5243.663656","194.27.251.21","172.16.112.194","ICMP","60","Echo (ping) request  id=0x0801, seq=3585/270, ttl=254 (reply in 307277)"
"307277","5243.663797","172.16.112.194","194.27.251.21","ICMP","60","Echo (ping) reply    id=0x0801, seq=3585/270, ttl=64 (request in 307276)"
"307278","5243.671471","194.27.251.21","172.16.112.194","ICMP","60","Echo (ping) request  id=0x0801, seq=3841/271, ttl=254 (reply in 307279)"
"307279","5243.671610","172.16.112.194","194.27.251.21","ICMP","60","Echo (ping) reply    id=0x0801, seq=3841/271, ttl=64 (request in 307278)"
"307748","5262.498470","197.218.177.69","172.16.113.204","ICMP","60","Echo (ping) request  id=0x0801, seq=4097/272, ttl=254 (reply in 307749)"
"307749","5262.499330","172.16.113.204","197.218.177.69","ICMP","60","Echo (ping) reply    id=0x0801, seq=4097/272, ttl=64 (request in 307748)"
"307750","5262.506256","197.218.177.69","172.16.113.204","ICMP","60","Echo (ping) request  id=0x0801, seq=4353/273, ttl=254 (reply in 307751)"
"307751","5262.506671","172.16.113.204","197.218.177.69","ICMP","60","Echo (ping) reply    id=0x0801, seq=4353/273, ttl=64 (request in 307750)"
"307752","5262.514511","197.218.177.69","172.16.113.204","ICMP","60","Echo (ping) request  id=0x0801, seq=4609/274, ttl=254 (no response found!)"
"307753","5262.514702","172.16.112.194","197.218.177.69","ICMP","60","Echo (ping) reply    id=0x0801, seq=4609/274, ttl=64"
"349939","6121.925149","172.16.115.1","172.16.115.20","ICMP","70","Destination unreachable (Port unreachable)"
"350333","6126.925304","172.16.115.1","172.16.115.20","ICMP","70","Destination unreachable (Port unreachable)"
"351070","6136.925530","172.16.115.1","172.16.115.20","ICMP","70","Destination unreachable (Port unreachable)"
"352363","6156.928373","172.16.115.1","172.16.115.20","ICMP","70","Destination unreachable (Port unreachable)"
"479750","7601.568837","172.16.115.20","172.16.113.204","ICMP","98","Echo (ping) request  id=0x0b74, seq=0/0, ttl=255 (no response found!)"
"479751","7601.569113","172.16.112.194","172.16.115.20","ICMP","98","Echo (ping) reply    id=0x0b74, seq=0/0, ttl=64"
"536356","9020.181246","172.16.113.168","195.115.218.108","ICMP","60","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"536357","9020.181421","172.16.113.168","195.115.218.108","ICMP","60","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"536358","9020.181581","172.16.113.168","195.115.218.108","ICMP","60","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"536359","9020.181741","172.16.113.168","195.115.218.108","ICMP","60","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"536360","9020.181900","172.16.113.168","195.115.218.108","ICMP","60","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"536361","9020.182083","172.16.113.168","195.115.218.108","ICMP","60","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"536362","9020.182244","172.16.113.168","195.115.218.108","ICMP","60","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"536363","9020.182403","172.16.113.168","195.115.218.108","ICMP","60","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (reply in 536365)"
"536365","9020.205448","195.115.218.108","172.16.113.168","ICMP","60","Echo (ping) reply    id=0x0000, seq=0/0, ttl=63 (request in 536363)"
"536366","9020.213320","195.115.218.108","172.16.113.168","ICMP","60","Echo (ping) reply    id=0x0000, seq=0/0, ttl=63"
"536367","9020.221144","195.115.218.108","172.16.113.168","ICMP","60","Echo (ping) reply    id=0x0000, seq=0/0, ttl=63"
"536368","9020.229016","195.115.218.108","172.16.113.168","ICMP","60","Echo (ping) reply    id=0x0000, seq=0/0, ttl=63"
"536369","9020.236852","195.115.218.108","172.16.113.168","ICMP","60","Echo (ping) reply    id=0x0000, seq=0/0, ttl=63"
"536370","9020.244715","195.115.218.108","172.16.113.168","ICMP","60","Echo (ping) reply    id=0x0000, seq=0/0, ttl=63"
"536371","9020.244785","195.115.218.108","172.16.113.168","ICMP","60","Echo (ping) reply    id=0x0000, seq=0/0, ttl=63"
"536372","9020.245769","195.115.218.108","172.16.113.168","ICMP","60","Echo (ping) reply    id=0x0000, seq=0/0, ttl=63"
"542543","9156.213051","172.16.113.168","195.115.218.108","ICMP","60","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"542544","9156.213219","172.16.113.168","195.115.218.108","ICMP","60","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"542545","9156.213379","172.16.113.168","195.115.218.108","ICMP","60","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"542546","9156.213538","172.16.113.168","195.115.218.108","ICMP","60","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (reply in 542548)"
"542548","9156.237269","195.115.218.108","172.16.113.168","ICMP","60","Echo (ping) reply    id=0x0000, seq=0/0, ttl=63 (request in 542546)"
"542549","9156.245116","195.115.218.108","172.16.113.168","ICMP","60","Echo (ping) reply    id=0x0000, seq=0/0, ttl=63"
"542550","9156.245204","195.115.218.108","172.16.113.168","ICMP","60","Echo (ping) reply    id=0x0000, seq=0/0, ttl=63"
"542551","9156.246301","195.115.218.108","172.16.113.168","ICMP","60","Echo (ping) reply    id=0x0000, seq=0/0, ttl=63"
"628085","11080.112590","197.182.91.233","172.16.113.148","ICMP","60","Echo (ping) request  id=0x0801, seq=4865/275, ttl=254 (reply in 628086)"
"628086","11080.113196","172.16.113.148","197.182.91.233","ICMP","60","Echo (ping) reply    id=0x0801, seq=4865/275, ttl=64 (request in 628085)"
"628088","11080.121537","197.182.91.233","172.16.113.148","ICMP","60","Echo (ping) request  id=0x0801, seq=5121/276, ttl=254 (reply in 628089)"
"628089","11080.121813","172.16.113.148","197.182.91.233","ICMP","60","Echo (ping) reply    id=0x0801, seq=5121/276, ttl=64 (request in 628088)"
"628091","11080.130274","197.182.91.233","172.16.113.148","ICMP","60","Echo (ping) request  id=0x0801, seq=5377/277, ttl=254 (no response found!)"
"628092","11080.130431","172.16.112.194","197.182.91.233","ICMP","60","Echo (ping) reply    id=0x0801, seq=5377/277, ttl=64"
"628093","11080.138652","197.182.91.233","172.16.113.148","ICMP","60","Echo (ping) request  id=0x0801, seq=5633/278, ttl=254 (no response found!)"
"628094","11080.138791","172.16.112.194","197.182.91.233","ICMP","60","Echo (ping) reply    id=0x0801, seq=5633/278, ttl=64"
"628097","11080.147527","197.182.91.233","172.16.113.148","ICMP","60","Echo (ping) request  id=0x0801, seq=5889/279, ttl=254 (no response found!)"
"628098","11080.147667","172.16.112.194","197.182.91.233","ICMP","60","Echo (ping) reply    id=0x0801, seq=5889/279, ttl=64"
